iter	RMSE
0	3.559715471
1	3.542913793
2	3.530520356
3	3.518951401
4	3.509950968
5	3.500341966
6	3.487841288
7	3.475457674
8	3.465949424
9	3.454324234
10	3.446130996
11	3.439428794
12	3.432441133
13	3.423646571
14	3.413413436
15	3.407239917
16	3.398372234
17	3.391454532
18	3.386687059
19	3.38263957
20	3.377074532
21	3.369191643
22	3.360355213
23	3.351907924
24	3.346151712
25	3.339599828
26	3.331637216
27	3.323757045
28	3.318962103
29	3.314934845
30	3.306655918
31	3.299730915
32	3.293950531
33	3.289078655
34	3.286271108
35	3.27827633
36	3.273684814
37	3.269016842
38	3.263872708
39	3.259210235
40	3.254193664
41	3.249130159
42	3.244440218
43	3.240142441
44	3.235794375
45	3.229687024
46	3.224484909
47	3.219410347
48	3.215125409
49	3.210599297
50	3.207500381
51	3.206110595
52	3.202859844
53	3.199023198
54	3.19437581
55	3.190724393
56	3.18648444
57	3.183663233
58	3.180399526
59	3.177123393
60	3.17435837
61	3.170583842
62	3.166836748
63	3.162594731
64	3.159141569
65	3.155798863
66	3.151642693
67	3.149365298
68	3.145433364
69	3.141269289
70	3.137516491
71	3.133712043
72	3.131180395
73	3.128469218
74	3.125366473
75	3.122150073
76	3.118002351
77	3.115783903
78	3.111990006
79	3.109213767
80	3.106745219
81	3.104256347
82	3.099930201
83	3.097852797
84	3.094921539
85	3.092377611
86	3.088086479
87	3.08609887
88	3.083449466
89	3.079730439
90	3.076863926
91	3.074206568
92	3.071100187
93	3.067662124
94	3.064506351
95	3.061907402
96	3.058292347
97	3.053910676
98	3.051597683
99	3.049341627
100	3.046570767
101	3.043772801
102	3.042697685
103	3.039962885
104	3.036878324
105	3.033112105
106	3.031313157
107	3.027418825
108	3.025327738
109	3.021616962
110	3.020016569
111	3.018024264
112	3.01491898
113	3.013326804
114	3.009007008
115	3.006736328
116	3.003318391
117	2.999196491
118	2.995679395
119	2.991312303
120	2.988878265
121	2.984915436
122	2.980036033
123	2.9792343
124	2.975923745
125	2.973190762
126	2.970964956
127	2.968091584
128	2.964557743
129	2.960594824
130	2.957817455
131	2.956436358
132	2.953171428
133	2.9506471
134	2.9480329
135	2.945159012
136	2.943177957
137	2.940059492
138	2.936549566
139	2.933882243
140	2.931045746
141	2.929137309
142	2.926716091
143	2.924870835
144	2.921490449
145	2.918404394
146	2.915797961
147	2.912739596
148	2.910487556
149	2.908399146
150	2.90545298
151	2.902452433
152	2.901000758
153	2.894820682
154	2.891729794
155	2.889152579
156	2.885520127
157	2.883576804
158	2.879820541
159	2.876957795
160	2.875123499
161	2.873488021
162	2.870911178
163	2.867726482
164	2.864392901
165	2.862145047
166	2.859538734
167	2.857053947
168	2.853292594
169	2.850619962
170	2.847988515
171	2.845978736
172	2.843642616
173	2.84141213
174	2.83858306
175	2.835787804
176	2.833497583
177	2.830414623
178	2.82775343
179	2.823979849
180	2.822204008
181	2.820927975
182	2.819879789
183	2.818364981
184	2.815431101
185	2.813609278
186	2.808830482
187	2.806428343
188	2.803722384
189	2.80177016
190	2.798883845
191	2.797576598
192	2.795016814
193	2.793476396
194	2.791233136
195	2.787427954
196	2.784665403
197	2.782296518
198	2.780050377
199	2.776904746
200	2.771742965
201	2.769108899
202	2.766822313
203	2.765176688
204	2.761504255
205	2.75689507
206	2.754418279
207	2.750493805
208	2.750039781
209	2.747766619
210	2.744465103
211	2.741270019
212	2.737863312
213	2.73498652
214	2.730522387
215	2.727579528
216	2.72487692
217	2.722747773
218	2.720031492
219	2.717804406
220	2.713548478
221	2.710379007
222	2.707515101
223	2.704718052
224	2.70150111
225	2.699644954
226	2.694435109
227	2.691302351
228	2.686939032
229	2.685501621
230	2.684130216
231	2.679779372
232	2.679032776
233	2.67578191
234	2.673644125
235	2.671918223
236	2.669795053
237	2.667173912
238	2.666280353
239	2.66137707
240	2.658439308
241	2.656542593
242	2.653493253
243	2.65140908
244	2.649158905
245	2.645832707
246	2.642214697
247	2.639700345
248	2.637683527
249	2.634011661
250	2.632354954
251	2.630420908
252	2.628993327
253	2.627398476
254	2.625262879
255	2.622525403
256	2.62100575
257	2.618909394
258	2.616236302
259	2.614968116
260	2.611581323
261	2.608553947
262	2.606854334
263	2.605203988
264	2.603114765
265	2.600488581
266	2.597878034
267	2.593213882
268	2.591522293
269	2.589272584
270	2.588177499
271	2.587014927
272	2.584362694
273	2.58329453
274	2.580659748
275	2.57754661
276	2.576139727
277	2.57338069
278	2.571157142
279	2.568574445
280	2.566435883
281	2.565572792
282	2.564853437
283	2.562691944
284	2.558834777
285	2.556572024
286	2.554927991
287	2.552888008
288	2.550964855
289	2.549725459
290	2.548132656
291	2.545438267
292	2.544734103
293	2.542356361
294	2.540033241
295	2.538104156
296	2.536360818
297	2.534595422
298	2.531857542
299	2.530614996
