iter	Passed	Remaining
0	4	1393
1	8	1298
2	12	1258
3	16	1222
4	20	1202
5	24	1194
6	28	1181
7	32	1173
8	35	1162
9	40	1166
10	44	1162
11	48	1155
12	52	1158
13	57	1167
14	61	1168
15	65	1160
16	69	1165
17	73	1158
18	77	1149
19	82	1157
20	87	1156
21	91	1157
22	95	1151
23	100	1155
24	105	1162
25	110	1167
26	115	1167
27	119	1161
28	123	1156
29	127	1148
30	132	1148
31	136	1142
32	140	1138
33	145	1135
34	148	1127
35	152	1120
36	156	1114
37	161	1114
38	165	1110
39	170	1107
40	174	1102
41	178	1098
42	183	1093
43	187	1090
44	191	1084
45	195	1080
46	199	1075
47	203	1070
48	208	1066
49	212	1061
50	216	1057
51	221	1055
52	225	1050
53	229	1045
54	233	1040
55	237	1036
56	241	1031
57	245	1026
58	250	1022
59	254	1017
60	258	1012
61	262	1008
62	266	1003
63	270	998
64	274	994
65	279	991
66	283	986
67	287	982
68	292	979
69	296	975
70	301	971
71	305	967
72	309	963
73	314	959
74	318	954
75	322	950
76	326	946
77	330	941
78	336	940
79	340	936
80	344	931
81	348	927
82	353	923
83	357	918
84	361	914
85	365	909
86	369	905
87	373	900
88	378	896
89	382	892
90	386	888
91	391	884
92	395	880
93	399	876
94	404	872
95	409	869
96	413	864
97	417	860
98	421	856
99	425	851
100	429	846
101	433	842
102	439	841
103	443	836
104	447	831
105	451	827
106	455	821
107	459	817
108	463	812
109	468	808
110	472	803
111	476	799
112	480	794
113	483	789
114	487	784
115	491	780
116	496	776
117	500	771
118	504	766
119	508	762
120	512	758
121	516	754
122	521	749
123	525	745
124	529	741
125	533	736
126	537	732
127	541	727
128	545	723
129	549	718
130	553	714
131	557	709
132	561	704
133	565	700
134	570	697
135	574	692
136	578	688
137	582	684
138	586	679
139	590	674
140	594	670
141	599	666
142	603	662
143	606	657
144	611	653
145	614	648
146	618	644
147	622	639
148	627	635
149	631	631
150	635	627
151	639	622
152	643	618
153	648	615
154	652	610
155	656	606
156	660	601
157	664	597
158	668	592
159	672	588
160	676	583
161	680	579
162	683	574
163	689	571
164	693	567
165	697	562
166	701	558
167	705	554
168	709	550
169	713	545
170	723	546
171	731	544
172	737	541
173	742	537
174	748	534
175	753	530
176	758	526
177	763	523
178	768	519
179	774	516
180	779	512
181	784	508
182	788	504
183	792	499
184	797	495
185	801	490
186	805	486
187	809	482
188	813	477
189	817	473
190	821	469
191	825	464
192	829	460
193	834	455
194	838	451
195	842	447
196	846	442
197	851	438
198	856	434
199	860	430
200	864	425
201	869	421
202	873	417
203	877	412
204	881	408
205	885	404
206	889	399
207	894	395
208	898	391
209	902	386
210	907	382
211	911	378
212	915	374
213	919	369
214	923	365
215	927	360
216	932	356
217	936	352
218	940	347
219	944	343
220	948	339
221	953	334
222	957	330
223	961	326
224	965	321
225	969	317
226	974	313
227	978	308
228	983	304
229	987	300
230	991	296
231	996	292
232	1000	287
233	1004	283
234	1008	278
235	1012	274
236	1016	270
237	1021	266
238	1026	261
239	1030	257
240	1034	253
241	1038	248
242	1043	244
243	1047	240
244	1052	236
245	1056	231
246	1060	227
247	1063	223
248	1069	219
249	1074	214
250	1078	210
251	1083	206
252	1087	202
253	1091	197
254	1096	193
255	1101	189
256	1106	185
257	1110	180
258	1114	176
259	1118	172
260	1122	167
261	1128	163
262	1132	159
263	1136	154
264	1141	150
265	1145	146
266	1149	142
267	1159	138
268	1164	134
269	1169	129
270	1173	125
271	1177	121
272	1181	116
273	1185	112
274	1190	108
275	1194	103
276	1198	99
277	1202	95
278	1206	90
279	1211	86
280	1216	82
281	1220	77
282	1224	73
283	1228	69
284	1232	64
285	1236	60
286	1240	56
287	1244	51
288	1248	47
289	1252	43
290	1256	38
291	1260	34
292	1265	30
293	1269	25
294	1274	21
295	1278	17
296	1282	12
297	1286	8
298	1290	4
299	1294	0
