ds,yhat,yhat_lower,yhat_upper
2025-01-01,52434.108383653744,49542.87358109247,55120.09402312812
2025-01-02,52535.45467274197,49715.73720269858,55266.21426794359
2025-01-03,52520.52234631735,49663.1211211641,55418.65600740868
2025-01-06,52812.57621894131,50170.18158352268,55572.62844603159
2025-01-07,52980.63299413861,50114.33215994626,55839.4754809752
2025-01-08,52990.604111457156,50242.96674339225,55882.508738637924
2025-01-09,53074.438498053416,50165.2406091636,55884.005966608274
2025-01-10,53036.15627432031,50299.04818572562,55654.11409935988
2025-01-13,53232.512369283846,50538.058494028424,56198.141058431174
2025-01-14,53362.85550338115,50644.68468407341,55989.55954535765
2025-01-15,53333.33457042311,50613.86536278228,55973.0488410181
2025-01-16,53377.27363411831,50644.988413176565,56103.71330129559
2025-01-17,53299.19325812173,50344.914413478415,56002.64930653512
2025-01-20,53386.7894728995,50594.62161906613,56088.18720160976
2025-01-21,53486.57668970048,50672.88670119382,56121.59055928118
2025-01-22,53429.81270654142,50453.224053246726,56116.434336993574
2025-01-23,53450.602967264014,50683.57414737676,56395.07026715464
2025-01-24,53353.270393634564,50603.621259410196,55925.82189282082
2025-01-27,53408.466944170235,50565.871044694824,56225.61200851426
2025-01-28,53505.1734312643,50668.75685643998,56400.05917441647
2025-01-29,53448.19983997936,50616.86037696813,56124.11380531724
2025-01-30,53471.606642025174,50615.767814694314,56408.88759505292
2025-01-31,53378.75450512419,50611.89195599385,56232.53533204545
2025-02-03,53454.22647992563,50590.556565200706,56177.93186006409
2025-02-04,53557.67004921904,50704.86900206882,56336.696297914394
2025-02-05,53505.95761093681,50674.898317305044,56177.140321633866
2025-02-06,53533.01298392803,50491.49335560991,56523.16538023617
2025-02-07,53441.272410750425,50364.83651395647,56413.31110593339
2025-02-10,53502.70039186974,50751.08765484442,56321.37915334044
2025-02-11,53594.63323879217,50974.007170643665,56489.58863848526
