Index,Model,Horizon,RMSE,MAE,MAPE,DA,vs_XGB_RMSE_impr,vs_XGB_MAPE_impr,vs_Naive_RMSE_impr,vs_Naive_MAPE_impr
NIFTY,Ensemble,1,173.8108,125.3299,0.643,52.85,10.86,10.58,0,-0.03
NIFTY,XGBoost,1,194.9967,139.6,0.719,51.9,,,,
NIFTY,Naive,1,173.81,125.3019,0.6428,0.14,,,,
NIFTY,Ensemble,5,385.8924,305.4446,1.5607,58.1,34.2,31.78,0.21,1.31
NIFTY,XGBoost,5,586.4249,462.8219,2.2877,44.76,,,,
NIFTY,Naive,5,386.7129,309.6053,1.5814,0,,,,
BANKNIFTY,Ensemble,1,470.2318,331.5748,0.7757,52.91,4.49,4.63,-0.03,0.06
BANKNIFTY,XGBoost,1,492.3608,348.3133,0.8133,52.23,,,,
BANKNIFTY,Naive,1,470.0774,331.7378,0.7762,0,,,,
BANKNIFTY,Ensemble,5,1051.6369,821.5028,1.9276,57.37,18.63,19.91,0.06,0.55
BANKNIFTY,XGBoost,5,1292.3484,1044.3317,2.4067,43.3,,,,
BANKNIFTY,Naive,5,1052.2515,827.5267,1.9382,0,,,,
