Index,Model,Horizon,Split,N_Test,RMSE,MAE,MAPE,DA,Residual_Mean,Residual_Std,Residual_RMSE,Eval_Window_Start,Eval_Window_End
NIFTY,Ensemble,h=1,80/20,736,173.846,125.0977,0.6421,53.4,,,,,
NIFTY,XGBoost,h=1,80/20,736,197.0285,147.3904,0.7447,46.6,,,,,
NIFTY,Naive,h=1,80/20,736,173.81,125.3019,0.6428,0.14,,,,,
NIFTY,Ensemble,h=5,80/20,735,385.9491,304.7245,1.5574,58.23,,,,,
NIFTY,XGBoost,h=5,80/20,735,616.4883,491.0606,2.4199,43.81,,,,,
NIFTY,Naive,h=5,80/20,735,386.7129,309.6053,1.5814,0,,,,,
BANKNIFTY,Ensemble,h=1,80/20,739,470.3555,331.5032,0.7755,52.91,,,,,
BANKNIFTY,XGBoost,h=1,80/20,739,517.7191,379.7268,0.8817,49.39,,,,,
BANKNIFTY,Naive,h=1,80/20,739,470.0774,331.7378,0.7762,0,,,,,
BANKNIFTY,Ensemble,h=5,80/20,739,1051.6434,821.4857,1.9276,57.37,,,,,
BANKNIFTY,XGBoost,h=5,80/20,739,1334.6698,1086.1954,2.4977,43.17,,,,,
BANKNIFTY,Naive,h=5,80/20,739,1052.2515,827.5267,1.9382,0,,,,,
NIFTY,Prophet,Next-month,80/20,30,698.1199,596.2393,3.4308,62.07,-521.5802,464.0319,698.1199,06-01-2022,17-02-2022
BANKNIFTY,Prophet,Next-month,90/10,30,1920.3736,1854.6219,4.0895,51.72,1854.6219,498.2092,1920.3736,30-06-2023,10-08-2023
