ds,yhat,yhat_lower,yhat_upper
2025-01-01,37063.611317663526,36005.936915024264,38133.964297230006
2025-01-02,37112.94462222709,36088.270972231956,38241.607324304234
2025-01-03,37134.02796913225,36016.748574059886,38188.322798145935
2025-01-06,37278.83717424201,36251.9318613579,38447.18103011588
2025-01-07,37368.68886588354,36334.5349998484,38483.78097467667
2025-01-08,37396.50207450496,36347.32159039427,38497.51832592363
2025-01-09,37446.05446071091,36447.7346364796,38436.49384802921
2025-01-10,37464.446540935525,36393.49350610485,38445.975891823255
2025-01-13,37583.410767897454,36508.042889802266,38648.15656012428
2025-01-14,37658.694675389415,36612.292126469365,38766.41833142048
2025-01-15,37668.86269856073,36586.91314121492,38646.44828637407
2025-01-16,37698.054827761174,36607.73512085826,38722.678360138765
2025-01-17,37693.45271468566,36642.31747829434,38799.7659407081
2025-01-20,37731.27059148796,36664.81131722024,38814.12136741952
2025-01-21,37776.759323009945,36745.82584303013,38855.92053561025
2025-01-22,37756.302617289984,36742.645140556495,38853.025988328256
2025-01-23,37754.753582357705,36697.571964844,38794.59260287333
2025-01-24,37719.687373308305,36639.697280768465,38761.64127591368
2025-01-27,37673.76160258751,36633.74787497786,38739.19921668023
2025-01-28,37695.65762472878,36614.909577372586,38764.48094216894
2025-01-29,37654.36195235184,36548.37127579963,38697.181112796694
2025-01-30,37635.35048585231,36520.36215296588,38712.98120264536
2025-01-31,37586.41820992261,36486.31199897359,38627.828128953945
2025-02-03,37523.48854396864,36390.60711313839,38627.29112226768
2025-02-04,37548.310852664756,36473.83745127064,38598.55336556391
2025-02-05,37513.97242722466,36383.6386351817,38556.864036631494
2025-02-06,37505.97280582585,36374.93306551872,38523.9529137439
2025-02-07,37471.68765982885,36292.58910584029,38563.62603409966
2025-02-10,37470.82425461434,36332.86997153264,38585.79844667962
2025-02-11,37520.54030279724,36420.674180508395,38529.62087607777
