iter	RMSE
0	3.56020619
1	3.543699154
2	3.530845493
3	3.519310125
4	3.508141155
5	3.498563044
6	3.487020175
7	3.475639061
8	3.46730329
9	3.455198359
10	3.444870093
11	3.436763003
12	3.430354728
13	3.421618849
14	3.412702439
15	3.406503722
16	3.398099757
17	3.391200566
18	3.384843803
19	3.380779675
20	3.376751
21	3.367888307
22	3.359845102
23	3.352849828
24	3.34677945
25	3.340400591
26	3.332912368
27	3.3288506
28	3.324503157
29	3.320375312
30	3.312985771
31	3.3056937
32	3.300670291
33	3.295758957
34	3.292929799
35	3.287198696
36	3.282814063
37	3.278000244
38	3.272716986
39	3.268163353
40	3.263740637
41	3.259835273
42	3.254917106
43	3.249670489
44	3.245809094
45	3.240055648
46	3.236914213
47	3.231360978
48	3.225378461
49	3.220615205
50	3.217690932
51	3.216333013
52	3.213100684
53	3.208726377
54	3.203958395
55	3.199946245
56	3.196265125
57	3.193438475
58	3.187832409
59	3.183985796
60	3.180918528
61	3.176624241
62	3.17324678
63	3.168816964
64	3.163669087
65	3.160049025
66	3.157414195
67	3.155118074
68	3.149896453
69	3.145454377
70	3.141559564
71	3.137383494
72	3.134273223
73	3.131542782
74	3.126496153
75	3.124312163
76	3.120933378
77	3.119076072
78	3.116564614
79	3.113717546
80	3.110775663
81	3.108833583
82	3.104889568
83	3.102623308
84	3.1011222
85	3.095695882
86	3.091060777
87	3.088909098
88	3.085958679
89	3.082815612
90	3.080192045
91	3.077526793
92	3.074005774
93	3.070909555
94	3.068213404
95	3.065812952
96	3.062680776
97	3.059020518
98	3.056768875
99	3.053975324
100	3.051341177
101	3.048485479
102	3.047269109
103	3.044952719
104	3.042436399
105	3.038879464
106	3.038435385
107	3.034065362
108	3.030604779
109	3.026685726
110	3.023557515
111	3.020837472
112	3.017747003
113	3.016047152
114	3.013015237
115	3.010585169
116	3.007215285
117	3.00297836
118	3.000869541
119	2.9970835
120	2.994427518
121	2.992417669
122	2.990297631
123	2.988549985
124	2.986109455
125	2.983370352
126	2.980588791
127	2.97762416
128	2.974033656
129	2.971900355
130	2.969380394
131	2.966985076
132	2.963670361
133	2.961495465
134	2.95859578
135	2.955709344
136	2.95219485
137	2.948943466
138	2.944974271
139	2.942172661
140	2.938957354
141	2.937355753
142	2.935005558
143	2.933149497
144	2.929216715
145	2.926776196
146	2.9240488
147	2.922275086
148	2.917696562
149	2.914888336
150	2.911691526
151	2.908920757
152	2.90716942
153	2.904840251
154	2.901812662
155	2.899819054
156	2.89663953
157	2.895448338
158	2.891806012
159	2.88750697
160	2.883997675
161	2.882482403
162	2.880575786
163	2.877880951
164	2.874838431
165	2.872858598
166	2.869559213
167	2.867433997
168	2.863598053
169	2.862138005
170	2.858823585
171	2.854772314
172	2.851126681
173	2.848914077
174	2.845188635
175	2.840242773
176	2.838798163
177	2.835958856
178	2.833903904
179	2.831295127
180	2.828833361
181	2.826413745
182	2.825170316
183	2.821623126
184	2.818906971
185	2.816713889
186	2.814121652
187	2.810400714
188	2.807647502
189	2.805028011
190	2.802580004
191	2.800639684
192	2.799088902
193	2.797462632
194	2.793531658
195	2.790759213
196	2.788567724
197	2.785773149
198	2.784034757
199	2.781175386
200	2.778443056
201	2.772825015
202	2.771091589
203	2.767976294
204	2.764987034
205	2.761063259
206	2.759486025
207	2.755744197
208	2.753550376
209	2.751720313
210	2.749204975
211	2.746879383
212	2.745128876
213	2.741408692
214	2.739362683
215	2.737048771
216	2.733372843
217	2.732046892
218	2.728436645
219	2.726231895
220	2.722650275
221	2.720576579
222	2.715001743
223	2.712757097
224	2.710794523
225	2.708180011
226	2.706335588
227	2.704885224
228	2.703243368
229	2.70205735
230	2.701732115
231	2.697421388
232	2.695575353
233	2.69369862
234	2.692196287
235	2.688971801
236	2.683647425
237	2.681470264
238	2.680554261
239	2.675729282
240	2.673468167
241	2.670271927
242	2.667253542
243	2.665521969
244	2.661475539
245	2.660459479
246	2.656780515
247	2.652479004
248	2.649656083
249	2.646904205
250	2.645070007
251	2.642475743
252	2.639958162
253	2.638539521
254	2.63630613
255	2.634343259
256	2.631088245
257	2.629988503
258	2.62756732
259	2.625896499
260	2.622740642
261	2.619680395
262	2.618080363
263	2.61576136
264	2.61135965
265	2.609281006
266	2.608418087
267	2.60633592
268	2.602542968
269	2.601777127
270	2.600939579
271	2.600048958
272	2.598036883
273	2.596957042
274	2.592923937
275	2.589146457
276	2.587347242
277	2.584223732
278	2.580271262
279	2.577072532
280	2.574496068
281	2.57309844
282	2.571773793
283	2.56961999
284	2.567041976
285	2.565841749
286	2.562179724
287	2.56076472
288	2.558449105
289	2.556624632
290	2.55457293
291	2.552475764
292	2.552057566
293	2.549117268
294	2.547401745
295	2.545714359
296	2.543206819
297	2.540900116
298	2.537513682
299	2.535209693
