iter	Passed	Remaining
0	4	1350
1	8	1237
2	12	1194
3	16	1208
4	20	1197
5	24	1181
6	27	1162
7	31	1149
8	35	1137
9	38	1123
10	42	1114
11	46	1109
12	50	1104
13	53	1096
14	57	1088
15	61	1083
16	64	1075
17	68	1069
18	71	1062
19	76	1065
20	79	1060
21	83	1055
22	87	1048
23	90	1044
24	94	1039
25	98	1034
26	101	1029
27	106	1033
28	111	1041
29	115	1035
30	118	1031
31	122	1027
32	126	1023
33	130	1019
34	134	1015
35	138	1012
36	141	1008
37	145	1004
38	149	1001
39	153	998
40	157	995
41	161	991
42	165	989
43	169	986
44	173	982
45	177	979
46	181	976
47	185	971
48	188	968
49	192	964
50	196	961
51	201	959
52	205	955
53	209	952
54	212	948
55	216	944
56	220	940
57	224	936
58	228	932
59	232	928
60	236	925
61	240	921
62	244	918
63	247	914
64	251	910
65	256	908
66	260	904
67	263	900
68	267	897
69	271	893
70	275	889
71	279	885
72	283	881
73	287	878
74	291	875
75	295	871
76	299	867
77	304	866
78	308	862
79	312	858
80	317	857
81	322	856
82	326	852
83	330	848
84	334	845
85	338	841
86	342	837
87	346	833
88	349	829
89	353	825
90	357	821
91	362	818
92	365	814
93	369	810
94	373	806
95	377	802
96	381	798
97	385	795
98	389	790
99	393	786
100	397	783
101	401	779
102	405	775
103	409	771
104	413	767
105	417	764
106	421	761
107	425	757
108	429	753
109	433	749
110	437	745
111	441	741
112	445	737
113	449	733
114	453	729
115	457	725
116	461	721
117	465	717
118	469	713
119	473	710
120	477	705
121	481	702
122	485	698
123	489	694
124	493	690
125	497	686
126	501	682
127	505	678
128	508	674
129	513	671
130	517	667
131	520	663
132	524	659
133	528	655
134	532	651
135	536	647
136	540	643
137	544	639
138	548	635
139	552	631
140	556	627
141	560	623
142	563	619
143	567	615
144	571	611
145	575	607
146	579	603
147	583	599
148	587	595
149	591	591
150	595	587
151	600	584
152	604	580
153	608	576
154	612	572
155	616	568
156	620	564
157	624	560
158	628	557
159	632	553
160	636	549
161	640	545
162	644	541
163	647	537
164	651	533
165	655	529
166	659	525
167	663	521
168	667	517
169	671	513
170	675	509
171	679	505
172	683	501
173	687	497
174	691	494
175	695	490
176	699	486
177	703	482
178	707	478
179	711	474
180	715	470
181	719	466
182	723	462
183	727	458
184	731	454
185	734	450
186	738	446
187	742	442
188	746	438
189	750	434
190	754	430
191	758	426
192	762	422
193	765	418
194	770	414
195	773	410
196	777	406
197	781	402
198	785	398
199	789	394
200	793	390
201	797	386
202	801	382
203	805	378
204	809	374
205	812	370
206	817	367
207	821	363
208	825	359
209	828	355
210	832	351
211	836	347
212	841	343
213	844	339
214	848	335
215	852	331
216	856	327
217	860	323
218	864	319
219	868	315
220	872	312
221	877	308
222	881	304
223	885	300
224	889	296
225	893	292
226	897	288
227	901	284
228	905	280
229	909	276
230	912	272
231	916	268
232	920	264
233	924	260
234	928	256
235	932	252
236	936	248
237	940	245
238	944	241
239	948	237
240	952	233
241	956	229
242	960	225
243	964	221
244	968	217
245	971	213
246	976	209
247	980	205
248	984	201
249	988	197
250	991	193
251	995	189
252	999	185
253	1003	181
254	1007	177
255	1011	173
256	1015	169
257	1019	166
258	1023	162
259	1027	158
260	1031	154
261	1035	150
262	1039	146
263	1043	142
264	1047	138
265	1051	134
266	1055	130
267	1059	126
268	1063	122
269	1067	118
270	1071	114
271	1075	110
272	1079	106
273	1083	102
274	1087	98
275	1091	94
276	1095	90
277	1099	87
278	1103	83
279	1108	79
280	1112	75
281	1116	71
282	1119	67
283	1123	63
284	1128	59
285	1131	55
286	1135	51
287	1140	47
288	1144	43
289	1148	39
290	1152	35
291	1156	31
292	1160	27
293	1164	23
294	1168	19
295	1172	15
296	1176	11
297	1179	7
298	1184	3
299	1188	0
